track.name,name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
The Joke - Bayonne Remix,Bayonne,51BzuUGYPrKP9j1kG64OQ3,0.607,0.886,5,-5.395,1,0.0289,0.583,0.946,0.0894,0.806,140.029,audio_features,51BzuUGYPrKP9j1kG64OQ3,spotify:track:51BzuUGYPrKP9j1kG64OQ3,https://api.spotify.com/v1/tracks/51BzuUGYPrKP9j1kG64OQ3,https://api.spotify.com/v1/audio-analysis/51BzuUGYPrKP9j1kG64OQ3,267111,4
Sorry Is Gone,Jessica Lea Mayfield,6FyQ47PYND7A7J6JHvf2nL,0.494,0.832,0,-4.539,1,0.0434,0.144,0.00221,0.053,0.495,126.809,audio_features,6FyQ47PYND7A7J6JHvf2nL,spotify:track:6FyQ47PYND7A7J6JHvf2nL,https://api.spotify.com/v1/tracks/6FyQ47PYND7A7J6JHvf2nL,https://api.spotify.com/v1/audio-analysis/6FyQ47PYND7A7J6JHvf2nL,201160,4
Did You Hear the Owls Last Night?,Karen Gwyer,4Rj6XYzvetqFCRfYCbb3eG,0.657,0.94,10,-8.159,1,0.0441,0.000482,0.86,0.0712,0.585,135.993,audio_features,4Rj6XYzvetqFCRfYCbb3eG,spotify:track:4Rj6XYzvetqFCRfYCbb3eG,https://api.spotify.com/v1/tracks/4Rj6XYzvetqFCRfYCbb3eG,https://api.spotify.com/v1/audio-analysis/4Rj6XYzvetqFCRfYCbb3eG,239773,4
Joy - Richard Norris Mix,Ibibio Sound Machine,1NCOILxBG3Rj1C4zWZrUVg,0.695,0.537,7,-15.343,1,0.0571,0.00714,0.905,0.0949,0.851,124.017,audio_features,1NCOILxBG3Rj1C4zWZrUVg,spotify:track:1NCOILxBG3Rj1C4zWZrUVg,https://api.spotify.com/v1/tracks/1NCOILxBG3Rj1C4zWZrUVg,https://api.spotify.com/v1/audio-analysis/1NCOILxBG3Rj1C4zWZrUVg,442258,4
Endless,Obongjayar,23Io6otFAPFd1SaE15k4RL,0.669,0.931,5,-6.739,0,0.0569,0.0378,0.00132,0.111,0.0368,120.006,audio_features,23Io6otFAPFd1SaE15k4RL,spotify:track:23Io6otFAPFd1SaE15k4RL,https://api.spotify.com/v1/tracks/23Io6otFAPFd1SaE15k4RL,https://api.spotify.com/v1/audio-analysis/23Io6otFAPFd1SaE15k4RL,264833,4
Snake in the Grass,The Murlocs,2ddKDBZXeQIxnxeNXCocZ3,0.488,0.672,9,-5.045,1,0.0281,0.0239,3.2e-06,0.108,0.729,66.696,audio_features,2ddKDBZXeQIxnxeNXCocZ3,spotify:track:2ddKDBZXeQIxnxeNXCocZ3,https://api.spotify.com/v1/tracks/2ddKDBZXeQIxnxeNXCocZ3,https://api.spotify.com/v1/audio-analysis/2ddKDBZXeQIxnxeNXCocZ3,161147,4
Weakness,George FitzGerald,6CGttSY2h6A51HYafCQbW5,0.386,0.613,0,-12.081,0,0.0426,0.0101,0.857,0.0928,0.496,88.722,audio_features,6CGttSY2h6A51HYafCQbW5,spotify:track:6CGttSY2h6A51HYafCQbW5,https://api.spotify.com/v1/tracks/6CGttSY2h6A51HYafCQbW5,https://api.spotify.com/v1/audio-analysis/6CGttSY2h6A51HYafCQbW5,363857,5
Loverboy,Lomboy,0uUzL6Z3WRw5ZhgZx4VD5K,0.531,0.814,3,-5.3,0,0.041,0.21,7.91e-05,0.358,0.767,81.416,audio_features,0uUzL6Z3WRw5ZhgZx4VD5K,spotify:track:0uUzL6Z3WRw5ZhgZx4VD5K,https://api.spotify.com/v1/tracks/0uUzL6Z3WRw5ZhgZx4VD5K,https://api.spotify.com/v1/audio-analysis/0uUzL6Z3WRw5ZhgZx4VD5K,233500,4
Drumming - Four Tet Remix,Steve Reich,5DwhPYctdeUA6elkvAo0Yk,0.741,0.456,5,-11.697,0,0.145,0.193,0.879,0.0939,0.678,116.485,audio_features,5DwhPYctdeUA6elkvAo0Yk,spotify:track:5DwhPYctdeUA6elkvAo0Yk,https://api.spotify.com/v1/tracks/5DwhPYctdeUA6elkvAo0Yk,https://api.spotify.com/v1/audio-analysis/5DwhPYctdeUA6elkvAo0Yk,489627,4
Salt Liquor,Black Mekon,7fnOQFp3kop5UI6zeJckxx,0.443,0.761,0,-3.771,1,0.187,0.00269,0.00312,0.0653,0.495,88.465,audio_features,7fnOQFp3kop5UI6zeJckxx,spotify:track:7fnOQFp3kop5UI6zeJckxx,https://api.spotify.com/v1/tracks/7fnOQFp3kop5UI6zeJckxx,https://api.spotify.com/v1/audio-analysis/7fnOQFp3kop5UI6zeJckxx,111191,4
