danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,clusters,track.name,name,song_id,type,id,uri,track_href,analysis_url
0.687,0.556,8,-7.051,1,0.0282,0.0382,0.463,0.213,0.466,136.027,393373,4,0,at the river,groove armada,0M7ZlP2RfhlrV5Jc7LkBRj,audio_features,0M7ZlP2RfhlrV5Jc7LkBRj,spotify:track:0M7ZlP2RfhlrV5Jc7LkBRj,https://api.spotify.com/v1/tracks/0M7ZlP2RfhlrV5Jc7LkBRj,https://api.spotify.com/v1/audio-analysis/0M7ZlP2RfhlrV5Jc7LkBRj
0.627,0.86,2,-7.646,1,0.0443,0.00207,0.0329,0.108,0.677,138.086,247173,4,7,i disappear,the faint,53Qpn8LPa0IhFCTiPO0Bbm,audio_features,53Qpn8LPa0IhFCTiPO0Bbm,spotify:track:53Qpn8LPa0IhFCTiPO0Bbm,https://api.spotify.com/v1/tracks/53Qpn8LPa0IhFCTiPO0Bbm,https://api.spotify.com/v1/audio-analysis/53Qpn8LPa0IhFCTiPO0Bbm
0.774,0.786,7,-5.923,1,0.187,0.0128,0.564,0.319,0.724,120.898,292853,4,7,tell me does she love the bass,lesbians on ecstasy,2i7OfHkKrwYnVGK3MeE4NQ,audio_features,2i7OfHkKrwYnVGK3MeE4NQ,spotify:track:2i7OfHkKrwYnVGK3MeE4NQ,https://api.spotify.com/v1/tracks/2i7OfHkKrwYnVGK3MeE4NQ,https://api.spotify.com/v1/audio-analysis/2i7OfHkKrwYnVGK3MeE4NQ
0.32,0.863,11,-5.089,0,0.0447,2.41e-05,0.14,0.257,0.0991,149.998,303133,4,1,teen angst,m83,7bQubbS5IDymxeH2qDZC8g,audio_features,7bQubbS5IDymxeH2qDZC8g,spotify:track:7bQubbS5IDymxeH2qDZC8g,https://api.spotify.com/v1/tracks/7bQubbS5IDymxeH2qDZC8g,https://api.spotify.com/v1/audio-analysis/7bQubbS5IDymxeH2qDZC8g
0.745,0.714,7,-3.681,1,0.0751,0.0141,0.0222,0.363,0.365,104.003,393813,4,4,galvanize,the chemical brothers,4bz7uB4edifWKJXSDxwHcs,audio_features,4bz7uB4edifWKJXSDxwHcs,spotify:track:4bz7uB4edifWKJXSDxwHcs,https://api.spotify.com/v1/tracks/4bz7uB4edifWKJXSDxwHcs,https://api.spotify.com/v1/audio-analysis/4bz7uB4edifWKJXSDxwHcs
0.634,0.763,7,-5.028,1,0.241,0.0311,3.59e-05,0.549,0.781,155.7,254600,4,2,finding out true love is blind - album/ep version,louis xiv,4YgjTjzden2HdFOyEF3R9h,audio_features,4YgjTjzden2HdFOyEF3R9h,spotify:track:4YgjTjzden2HdFOyEF3R9h,https://api.spotify.com/v1/tracks/4YgjTjzden2HdFOyEF3R9h,https://api.spotify.com/v1/audio-analysis/4YgjTjzden2HdFOyEF3R9h
0.634,0.763,7,-5.028,1,0.241,0.0311,3.59e-05,0.549,0.781,155.7,254600,4,2,finding out true love is blind - album/ep version,jason hill,4YgjTjzden2HdFOyEF3R9h,audio_features,4YgjTjzden2HdFOyEF3R9h,spotify:track:4YgjTjzden2HdFOyEF3R9h,https://api.spotify.com/v1/tracks/4YgjTjzden2HdFOyEF3R9h,https://api.spotify.com/v1/audio-analysis/4YgjTjzden2HdFOyEF3R9h
0.634,0.763,7,-5.028,1,0.241,0.0311,3.59e-05,0.549,0.781,155.7,254600,4,2,finding out true love is blind - album/ep version,brian karscig,4YgjTjzden2HdFOyEF3R9h,audio_features,4YgjTjzden2HdFOyEF3R9h,spotify:track:4YgjTjzden2HdFOyEF3R9h,https://api.spotify.com/v1/tracks/4YgjTjzden2HdFOyEF3R9h,https://api.spotify.com/v1/audio-analysis/4YgjTjzden2HdFOyEF3R9h
0.59,0.787,7,-5.766,1,0.0512,6.94e-06,0.845,0.0293,0.598,111.926,287720,4,7,robot rock,daft punk,7LL40F6YdZgeiQ6en1c7Lk,audio_features,7LL40F6YdZgeiQ6en1c7Lk,spotify:track:7LL40F6YdZgeiQ6en1c7Lk,https://api.spotify.com/v1/tracks/7LL40F6YdZgeiQ6en1c7Lk,https://api.spotify.com/v1/audio-analysis/7LL40F6YdZgeiQ6en1c7Lk
0.743,0.632,5,-6.942,0,0.035,0.00417,0.753,0.34,0.689,107.212,294107,4,8,how long,out hud,3i4rv1Ho4V2bprpiG2BFQk,audio_features,3i4rv1Ho4V2bprpiG2BFQk,spotify:track:3i4rv1Ho4V2bprpiG2BFQk,https://api.spotify.com/v1/tracks/3i4rv1Ho4V2bprpiG2BFQk,https://api.spotify.com/v1/audio-analysis/3i4rv1Ho4V2bprpiG2BFQk
0.576,0.935,10,-4.911,0,0.051,0.00013,0.017,0.0828,0.875,150.227,201360,4,8,banquet,bloc party,172u95XX2JxIfBZi1v0vKN,audio_features,172u95XX2JxIfBZi1v0vKN,spotify:track:172u95XX2JxIfBZi1v0vKN,https://api.spotify.com/v1/tracks/172u95XX2JxIfBZi1v0vKN,https://api.spotify.com/v1/audio-analysis/172u95XX2JxIfBZi1v0vKN
0.471,0.954,11,-3.632,0,0.134,0.000156,0.00473,0.405,0.412,170.092,220173,4,1,helicopter,bloc party,4kxYIvDIpWTrZgHn3sYxxC,audio_features,4kxYIvDIpWTrZgHn3sYxxC,spotify:track:4kxYIvDIpWTrZgHn3sYxxC,https://api.spotify.com/v1/tracks/4kxYIvDIpWTrZgHn3sYxxC,https://api.spotify.com/v1/audio-analysis/4kxYIvDIpWTrZgHn3sYxxC
0.45,0.941,0,-5.335,1,0.0367,0.00221,0.00804,0.126,0.243,159.987,265613,4,1,this modern love,bloc party,5jFMzYXf0IIApEJBCAoaaL,audio_features,5jFMzYXf0IIApEJBCAoaaL,spotify:track:5jFMzYXf0IIApEJBCAoaaL,https://api.spotify.com/v1/tracks/5jFMzYXf0IIApEJBCAoaaL,https://api.spotify.com/v1/audio-analysis/5jFMzYXf0IIApEJBCAoaaL
0.801,0.544,8,-5.858,1,0.0363,0.000738,0.000363,0.0596,0.783,112.009,239640,4,7,never win,fischerspooner,2aAV8orZctvbDvVJnMDlBR,audio_features,2aAV8orZctvbDvVJnMDlBR,spotify:track:2aAV8orZctvbDvVJnMDlBR,https://api.spotify.com/v1/tracks/2aAV8orZctvbDvVJnMDlBR,https://api.spotify.com/v1/audio-analysis/2aAV8orZctvbDvVJnMDlBR
0.433,0.527,0,-5.828,1,0.0615,0.534,0.00741,0.265,0.518,169.092,172560,4,1,frenchy i'm faking,architecture in helsinki,050o7o0UOk31WYVIgL3QbZ,audio_features,050o7o0UOk31WYVIgL3QbZ,spotify:track:050o7o0UOk31WYVIgL3QbZ,https://api.spotify.com/v1/tracks/050o7o0UOk31WYVIgL3QbZ,https://api.spotify.com/v1/audio-analysis/050o7o0UOk31WYVIgL3QbZ
0.49,0.986,1,-3.42,1,0.0488,0.00299,0.0,0.125,0.704,154.982,206293,4,1,apart,elkland,7DNlYIAI6264jk4fHY2djy,audio_features,7DNlYIAI6264jk4fHY2djy,spotify:track:7DNlYIAI6264jk4fHY2djy,https://api.spotify.com/v1/tracks/7DNlYIAI6264jk4fHY2djy,https://api.spotify.com/v1/audio-analysis/7DNlYIAI6264jk4fHY2djy
0.378,0.953,9,-3.632,1,0.138,0.000719,2.89e-05,0.0936,0.512,167.808,200347,4,1,apply some pressure,maximo park,19503qDaxgCdPL2BhJngij,audio_features,19503qDaxgCdPL2BhJngij,spotify:track:19503qDaxgCdPL2BhJngij,https://api.spotify.com/v1/tracks/19503qDaxgCdPL2BhJngij,https://api.spotify.com/v1/audio-analysis/19503qDaxgCdPL2BhJngij
0.611,0.878,10,-4.28,0,0.0584,0.000283,0.128,0.171,0.682,162.975,229867,4,8,love + pain,clor,3lIa4Iro7uVDLpR0ToLw7S,audio_features,3lIa4Iro7uVDLpR0ToLw7S,spotify:track:3lIa4Iro7uVDLpR0ToLw7S,https://api.spotify.com/v1/tracks/3lIa4Iro7uVDLpR0ToLw7S,https://api.spotify.com/v1/audio-analysis/3lIa4Iro7uVDLpR0ToLw7S
0.703,0.87,9,-6.176,1,0.0308,0.00411,0.401,0.0402,0.249,127.509,165187,4,7,all night disco party,brakes,26R39SGsCiHpCEVLpEyHFP,audio_features,26R39SGsCiHpCEVLpEyHFP,spotify:track:26R39SGsCiHpCEVLpEyHFP,https://api.spotify.com/v1/tracks/26R39SGsCiHpCEVLpEyHFP,https://api.spotify.com/v1/audio-analysis/26R39SGsCiHpCEVLpEyHFP
0.381,0.746,10,-6.598,0,0.0407,0.000172,0.00101,0.111,0.263,141.518,172533,4,1,rock & roll queen,the subways,75lw5aYrDq0TJsbkqCPRIJ,audio_features,75lw5aYrDq0TJsbkqCPRIJ,spotify:track:75lw5aYrDq0TJsbkqCPRIJ,https://api.spotify.com/v1/tracks/75lw5aYrDq0TJsbkqCPRIJ,https://api.spotify.com/v1/audio-analysis/75lw5aYrDq0TJsbkqCPRIJ
0.568,0.971,7,-3.478,1,0.0543,0.0518,4.24e-05,0.265,0.778,139.27,241333,4,7,middle of nowhere,hot hot heat,3DNEGzr5Y4pzSWNJFdw9cK,audio_features,3DNEGzr5Y4pzSWNJFdw9cK,spotify:track:3DNEGzr5Y4pzSWNJFdw9cK,https://api.spotify.com/v1/tracks/3DNEGzr5Y4pzSWNJFdw9cK,https://api.spotify.com/v1/audio-analysis/3DNEGzr5Y4pzSWNJFdw9cK
0.677,0.967,6,-6.939,0,0.0529,0.000184,0.304,0.0621,0.39,125.88,166880,4,8,jacques your body (make me sweat) - radio edit,les rythmes digitales,0pUXpH8hYSELeFTtYX8taT,audio_features,0pUXpH8hYSELeFTtYX8taT,spotify:track:0pUXpH8hYSELeFTtYX8taT,https://api.spotify.com/v1/tracks/0pUXpH8hYSELeFTtYX8taT,https://api.spotify.com/v1/audio-analysis/0pUXpH8hYSELeFTtYX8taT
0.571,0.854,7,-5.878,0,0.0296,0.00053,0.000284,0.0822,0.89,143.785,145080,4,8,riot radio,the dead 60s,1YTh975WnURrQc2BLYTwzE,audio_features,1YTh975WnURrQc2BLYTwzE,spotify:track:1YTh975WnURrQc2BLYTwzE,https://api.spotify.com/v1/tracks/1YTh975WnURrQc2BLYTwzE,https://api.spotify.com/v1/audio-analysis/1YTh975WnURrQc2BLYTwzE
0.413,0.942,0,-2.871,1,0.0453,0.0783,0.000412,0.689,0.759,123.085,215000,4,3,do you want to,franz ferdinand,0vek0LcCbvcMtj0GkXMMJy,audio_features,0vek0LcCbvcMtj0GkXMMJy,spotify:track:0vek0LcCbvcMtj0GkXMMJy,https://api.spotify.com/v1/tracks/0vek0LcCbvcMtj0GkXMMJy,https://api.spotify.com/v1/audio-analysis/0vek0LcCbvcMtj0GkXMMJy
0.425,0.92,9,-4.044,0,0.133,6.56e-05,0.000193,0.0645,0.488,155.354,184693,4,1,boa vs python,test icicles,2Sjj9UFgtIu1uu3lK0ys32,audio_features,2Sjj9UFgtIu1uu3lK0ys32,spotify:track:2Sjj9UFgtIu1uu3lK0ys32,https://api.spotify.com/v1/tracks/2Sjj9UFgtIu1uu3lK0ys32,https://api.spotify.com/v1/audio-analysis/2Sjj9UFgtIu1uu3lK0ys32
0.583,0.729,1,-6.645,0,0.0341,0.000522,1.47e-05,0.487,0.539,152.996,284613,4,3,tear you apart,she wants revenge,3urJUvRhgMrwydaTQFVEg9,audio_features,3urJUvRhgMrwydaTQFVEg9,spotify:track:3urJUvRhgMrwydaTQFVEg9,https://api.spotify.com/v1/tracks/3urJUvRhgMrwydaTQFVEg9,https://api.spotify.com/v1/audio-analysis/3urJUvRhgMrwydaTQFVEg9
0.774,0.794,5,-4.446,0,0.0358,0.00824,0.00317,0.08,0.724,120.002,347880,4,8,over and over,hot chip,6m5D7zGVbzAxceDXQTsRSX,audio_features,6m5D7zGVbzAxceDXQTsRSX,spotify:track:6m5D7zGVbzAxceDXQTsRSX,https://api.spotify.com/v1/tracks/6m5D7zGVbzAxceDXQTsRSX,https://api.spotify.com/v1/audio-analysis/6m5D7zGVbzAxceDXQTsRSX
0.675,0.817,0,-5.889,1,0.029,0.00931,0.00372,0.0784,0.976,120.037,200773,4,7,without you,elkland,5nZvY7kiNCqu1t54lQpWWL,audio_features,5nZvY7kiNCqu1t54lQpWWL,spotify:track:5nZvY7kiNCqu1t54lQpWWL,https://api.spotify.com/v1/tracks/5nZvY7kiNCqu1t54lQpWWL,https://api.spotify.com/v1/audio-analysis/5nZvY7kiNCqu1t54lQpWWL
0.841,0.606,10,-7.438,1,0.0482,0.00122,0.00268,0.0835,0.8,126.053,329947,4,7,budapest,poni hoax,4hsDm4zQAhutLjxp3DVeSf,audio_features,4hsDm4zQAhutLjxp3DVeSf,spotify:track:4hsDm4zQAhutLjxp3DVeSf,https://api.spotify.com/v1/tracks/4hsDm4zQAhutLjxp3DVeSf,https://api.spotify.com/v1/audio-analysis/4hsDm4zQAhutLjxp3DVeSf
0.841,0.606,10,-7.438,1,0.0482,0.00122,0.00268,0.0835,0.8,126.053,329947,4,7,budapest,olga kouklaki,4hsDm4zQAhutLjxp3DVeSf,audio_features,4hsDm4zQAhutLjxp3DVeSf,spotify:track:4hsDm4zQAhutLjxp3DVeSf,https://api.spotify.com/v1/tracks/4hsDm4zQAhutLjxp3DVeSf,https://api.spotify.com/v1/audio-analysis/4hsDm4zQAhutLjxp3DVeSf
0.536,0.868,4,-5.22,0,0.0301,0.000316,4.77e-06,0.196,0.569,141.471,220947,4,8,monster,the automatic automatic,1DGyRcg2ImFsGvVFL1jZMQ,audio_features,1DGyRcg2ImFsGvVFL1jZMQ,spotify:track:1DGyRcg2ImFsGvVFL1jZMQ,https://api.spotify.com/v1/tracks/1DGyRcg2ImFsGvVFL1jZMQ,https://api.spotify.com/v1/audio-analysis/1DGyRcg2ImFsGvVFL1jZMQ
0.697,0.919,7,-6.174,1,0.029,0.00694,0.0621,0.203,0.943,118.341,256400,4,7,standing in the way of control,gossip,76rCrPvrlLO4CyqAeaLu4o,audio_features,76rCrPvrlLO4CyqAeaLu4o,spotify:track:76rCrPvrlLO4CyqAeaLu4o,https://api.spotify.com/v1/tracks/76rCrPvrlLO4CyqAeaLu4o,https://api.spotify.com/v1/audio-analysis/76rCrPvrlLO4CyqAeaLu4o
0.47,0.969,6,-4.739,1,0.0968,0.000702,0.0,0.332,0.593,144.012,192311,4,1,"nobody move, nobody get hurt",we are scientists,0iUano4euaiUETVUd1u0cx,audio_features,0iUano4euaiUETVUd1u0cx,spotify:track:0iUano4euaiUETVUd1u0cx,https://api.spotify.com/v1/tracks/0iUano4euaiUETVUd1u0cx,https://api.spotify.com/v1/audio-analysis/0iUano4euaiUETVUd1u0cx
0.56,0.918,8,-5.484,0,0.149,0.00417,2.08e-06,0.844,0.541,132.03,227840,4,3,love like semtex,infadels,2YRi0WG0UofTkwC5cbOYDj,audio_features,2YRi0WG0UofTkwC5cbOYDj,spotify:track:2YRi0WG0UofTkwC5cbOYDj,https://api.spotify.com/v1/tracks/2YRi0WG0UofTkwC5cbOYDj,https://api.spotify.com/v1/audio-analysis/2YRi0WG0UofTkwC5cbOYDj
0.521,0.848,9,-3.396,1,0.065,0.0204,1.21e-05,0.081,0.297,158.739,187133,4,1,gold lion,yeah yeah yeahs,6ttg1sxtU12beFZkjoc6j5,audio_features,6ttg1sxtU12beFZkjoc6j5,spotify:track:6ttg1sxtU12beFZkjoc6j5,https://api.spotify.com/v1/tracks/6ttg1sxtU12beFZkjoc6j5,https://api.spotify.com/v1/audio-analysis/6ttg1sxtU12beFZkjoc6j5
0.455,0.705,0,-13.692,1,0.0426,0.000593,0.0127,0.111,0.475,107.51,208187,4,4,the treatment,dead disco,1i9bmGVWwqZkYuq5AcR5kB,audio_features,1i9bmGVWwqZkYuq5AcR5kB,spotify:track:1i9bmGVWwqZkYuq5AcR5kB,https://api.spotify.com/v1/tracks/1i9bmGVWwqZkYuq5AcR5kB,https://api.spotify.com/v1/audio-analysis/1i9bmGVWwqZkYuq5AcR5kB
0.759,0.75,0,-8.384,1,0.031,0.00256,0.0745,0.194,0.77,125.012,211280,4,7,i am the night before,kissogram,3THQX0H9OJy1UDuq9LEKos,audio_features,3THQX0H9OJy1UDuq9LEKos,spotify:track:3THQX0H9OJy1UDuq9LEKos,https://api.spotify.com/v1/tracks/3THQX0H9OJy1UDuq9LEKos,https://api.spotify.com/v1/audio-analysis/3THQX0H9OJy1UDuq9LEKos
0.767,0.67,11,-8.749,0,0.0333,6.4e-05,0.751,0.0835,0.477,136.998,305007,4,6,ankle injuries,fujiya & miyagi,4FnRRY3oEAor3gMEvsuBrp,audio_features,4FnRRY3oEAor3gMEvsuBrp,spotify:track:4FnRRY3oEAor3gMEvsuBrp,https://api.spotify.com/v1/tracks/4FnRRY3oEAor3gMEvsuBrp,https://api.spotify.com/v1/audio-analysis/4FnRRY3oEAor3gMEvsuBrp
0.436,0.881,4,-5.083,1,0.0497,0.0386,0.0,0.0854,0.447,166.3,214773,4,1,stutter,kubichek!,4roS0RWmW9OQmknToefi2n,audio_features,4roS0RWmW9OQmknToefi2n,spotify:track:4roS0RWmW9OQmknToefi2n,https://api.spotify.com/v1/tracks/4roS0RWmW9OQmknToefi2n,https://api.spotify.com/v1/audio-analysis/4roS0RWmW9OQmknToefi2n
